Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Thu Nov 02 10:08:01 +0000 2017,0.0,1.0,0.0,"NYC viewers ONLY: Due to NFL, tune in to WLNY for CBS Thursday night lineup, or stream on https://t.co/2XNQAg6gJ6 l… https://t.co/LHJahNFRi3",9,@CBS
0.0,Thu Nov 02 00:24:36 +0000 2017,0.0,1.0,0.0,"Buffalo viewers ONLY: Due to NFL, stream CBS Thursday night lineup on-demand at https://t.co/bbQB95Wwph. For more:… https://t.co/Fzpq2sTzqY",10,@CBS
0.0,Thu Nov 02 00:19:17 +0000 2017,0.0,1.0,0.0,"NYC viewers ONLY: Due to NFL, tune in to WLNY for CBS Thursday night lineup, or stream on https://t.co/2XNQAgnRAE l… https://t.co/fnwck6n2uv",11,@CBS
0.0,Wed Nov 01 17:07:30 +0000 2017,0.0,1.0,0.0,"RT @ManWithAPlan: Hi-five, fans! #ManWithAPlan will premiere Monday, Nov. 13 at 8:30/7:30c on @CBS!🖐🏼 https://t.co/njrMa5S6Qz",12,@CBS
0.8932,Wed Nov 01 00:56:34 +0000 2017,0.05,0.457,0.494,Ready to trick or treat! Celebrate tonight with Michael Jackson's Halloween special on CBS: https://t.co/T3hlVVTfSB… https://t.co/e9ztbUeae0,13,@CBS
0.7959,Tue Oct 31 20:09:21 +0000 2017,0.0,0.608,0.392,Happy #Halloween! Grab your friends and watch Michael Jackson's Halloween tonight: https://t.co/T3hlVVTfSB… https://t.co/Kg5bxNqwTp,14,@CBS
0.7574,Tue Oct 31 17:01:24 +0000 2017,0.071,0.533,0.396,Trick or treat. 🎃 Happy Halloween! Catch up on #MJHalloween now:  https://t.co/T3hlVVTfSB https://t.co/DMyE1q4scs,15,@CBS
0.6124,Tue Oct 31 17:00:06 +0000 2017,0.0,0.737,0.263,RT @swatcbs: Get ready for a thrill ride this Thursday with the series premiere of #SWAT. https://t.co/xz92zXp6kR,16,@CBS
0.6996,Tue Oct 31 14:00:01 +0000 2017,0.0,0.734,0.266,Join the fun with Jim Parsons as Hay Man in Michael Jackson's Halloween! Watch the full special:… https://t.co/Y1FKFnRd0p,17,@CBS
0.0572,Mon Oct 30 22:44:05 +0000 2017,0.05,0.892,0.059,RT @SuperiorDonuts: You won't want to miss the #SuperiorDonuts Season 2 premiere tonight at its new time: 9/8c on CBS &amp; CBS All Access: htt…,18,@CBS
0.2732,Mon Oct 30 22:41:43 +0000 2017,0.0,0.89,0.11,RT @SuperiorDonuts: Should we blindfold @jermaineFOWLER and see how well he can guess the flavor of donuts? #SuperiorDonuts,19,@CBS
0.0,Mon Oct 30 20:00:52 +0000 2017,0.0,1.0,0.0,RT @swatcbs: Sometimes following the rules &amp; doing what's right isn't always the same thing. #SWAT premieres this Thursday at 10/9c on @CBS…,20,@CBS
0.0,Mon Oct 30 20:00:46 +0000 2017,0.0,1.0,0.0,RT @swatcbs: Start breaking down some doors in three days with the series premiere of #SWAT. https://t.co/X8OTd8OE9y,21,@CBS
0.2481,Mon Oct 30 19:05:46 +0000 2017,0.0,0.889,0.111,Find out if Vincent &amp; Victoria will escape Meriwether on Michael Jackson's Halloween! Watch it now:… https://t.co/dqNk6OZ1XJ,22,@CBS
